Title,Date
"3%: Temporada 2: Capítulo 04: Guardanapo","06/05/2018"
"Aggretsuko: Temporada 1: Um dia na vida de Retsuko","06/05/2018"
"Aggretsuko: Temporada 1: O fim do sonho","05/05/2018"
"Aggretsuko: Temporada 1: Um mundo cor-de-rosa","05/05/2018"
"Aggretsuko: Temporada 1: O Príncipe Egoísta","05/05/2018"
"Aggretsuko: Temporada 1: Karaokê","05/05/2018"
"Aggretsuko: Temporada 1: Puxa-saco","05/05/2018"
"Aggretsuko: Temporada 1: Segredo revelado","05/05/2018"
"Aggretsuko: Temporada 1: Casamento","05/05/2018"
"Aggretsuko: Temporada 1: Parasita","05/05/2018"
"3%: Temporada 2: Capítulo 03: Estática","03/05/2018"
"3%: Temporada 2: Capítulo 02: Torradeira","02/05/2018"
"Mercury 13 - O Espaço Delas","28/04/2018"
"Jornada nas estrelas: Temporada 3: O mundo finito","28/04/2018"
"3%: Temporada 2: Capítulo 1: Espelho","28/04/2018"
"O Jogo da Imitação","28/04/2018"
"Jornada nas Estrelas: A nova geração: Temporada 7: Página Sombria","04/04/2018"
"O Mecanismo: Temporada 1: Juízo final","01/04/2018"
"O Mecanismo: Temporada 1: O último respiro","30/03/2018"
"O Mecanismo: Temporada 1: Eles sabiam de tudo","30/03/2018"
"O Mecanismo: Temporada 1: Olhos vermelhos","29/03/2018"
"O Mecanismo: Temporada 1: Fundo falso","28/03/2018"
"O Mecanismo: Temporada 1: Ventos frios vindos do sul","28/03/2018"
"O Mecanismo: Temporada 1: Halawi","27/03/2018"
"Jornada nas estrelas: Temporada 2: O computador supremo","26/03/2018"
"A Reconquista","24/03/2018"
"The Cloverfield Paradox","18/03/2018"
"Bright","10/03/2018"
"Ícaro","17/02/2018"
"After Trek: Temporada 1: Episódio 14","14/02/2018"
"Star Trek","14/02/2018"
"O próximo convidado dispensa apresentação com David Letterman: Temporada 1: Barack Obama","11/02/2018"
"After Trek: Temporada 1: Episódio 11","09/02/2018"
"Jornada nas Estrelas: A nova geração: Temporada 2: Uma Questão de Honra","08/02/2018"
"After Trek: Temporada 1: Episódio 13","08/02/2018"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: Ressurreição","04/02/2018"
"Jornada nas Estrelas: A nova geração: Temporada 2: O Audacioso Okona","04/02/2018"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: Os magníficos ferengis","03/02/2018"
"Jornada nas estrelas: Temporada 1: Semente do espaço","02/02/2018"
"After Trek: Temporada 1: Episódio 12","31/01/2018"
"Star Trek: Enterprise: Temporada 4: Reflexo sombrio - parte 2","25/01/2018"
"Jornada nas Estrelas: Deep Space Nine: Temporada 3: O outro lado do espelho","21/01/2018"
"Jornada nas Estrelas: Deep Space Nine: Temporada 5: Pingos às pencas","21/01/2018"
"Jornada nas estrelas: Temporada 2: O reflexo no espelho","21/01/2018"
"After Trek: Temporada 1: Episódio 10","18/01/2018"
"Peru: Tesouro Escondido","14/01/2018"
"Star Trek: Voyager: Temporada 4: Testemunha viva","14/01/2018"
"Luther: Temporada 1: Episódio 1","13/01/2018"
"Jornada nas Estrelas: Deep Space Nine: Temporada 2: Espelho, espelho meu","13/01/2018"
"Star Trek: Voyager: Temporada 1: Heróis e demônios","12/01/2018"
"After Trek: Temporada 1: Episódio 9","11/01/2018"
"Jornada nas Estrelas: A nova geração: Temporada 4: Reencontro","09/01/2018"
"Jornada nas estrelas: Temporada 3: A teia tholiana","07/01/2018"
"O Lugar Prometido em Nossa Juventude","06/01/2018"
"After Trek: Temporada 1: Episódio 1","05/01/2018"
"Jornada nas estrelas: Temporada 1: Deste lado do paraíso","05/01/2018"
"Jornada nas estrelas: Temporada 3: A marca de Gideon","05/01/2018"
"Jornada nas estrelas: Temporada 1: Missão de misericórdia","03/01/2018"
"O Nome da Rosa","02/01/2018"
"Black Mirror: Temporada 4: USS Callister","30/12/2017"
"LEGO Star Wars: The Yoda Chronicles: Temporada 1: Episódio 1","29/12/2017"
"Era uma vez: Temporada 2: Maldição quebrada","28/12/2017"
"Batendo Novamente: Temporada 1: Episódio 1","28/12/2017"
"Your Name","28/12/2017"
"Jornada nas Estrelas: A nova geração: Temporada 4: Contatos Imediatos","26/12/2017"
"The Crown: Temporada 2: Homem misterioso","22/12/2017"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 3","22/12/2017"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 2","20/12/2017"
"Jornada nas Estrelas: A nova geração: Temporada 3: Elo Perdido","20/12/2017"
"The Crown: Temporada 2: Paterfamilias","19/12/2017"
"The Crown: Temporada 2: Cara Sra. Kennedy","18/12/2017"
"Star Trek: Discovery: Temporada 1: Se queres a paz, prepara-te para a Guerra","18/12/2017"
"Star Trek: Discovery: Temporada 1: Magia para fazer o homem mais são ficar louco","17/12/2017"
"The Crown: Temporada 2: Matrimonium","16/12/2017"
"Star Trek: Enterprise: Temporada 4: Reflexo sombrio - parte 1","16/12/2017"
"The Crown: Temporada 2: Vergangenheit","16/12/2017"
"Star Trek: Enterprise: Temporada 4: Amarrados","16/12/2017"
"The Crown: Temporada 2: Marionetes","16/12/2017"
"The Crown: Temporada 2: Beryl","10/12/2017"
"The Crown: Temporada 2: Lisboa","10/12/2017"
"The Crown: Temporada 2: Uma companhia masculina","09/12/2017"
"The Crown: Temporada 2: Desventura","09/12/2017"
"Marvel - O Justiceiro: Temporada 1: Três da madrugada","07/12/2017"
"Star Trek: Enterprise: Temporada 4: Babel 1","05/12/2017"
"Armadilhas do Amor","05/12/2017"
"Star Trek – A Série Animada: Temporada 2: Paralelos","05/12/2017"
"Star Trek: Enterprise: Temporada 4: Daedelus","26/11/2017"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: O caminho do guerreiro","21/11/2017"
"Star Trek: Voyager: Temporada 7: Profecia","19/11/2017"
"Jornada nas estrelas: Temporada 1: Miri","19/11/2017"
"Jornada nas estrelas: Temporada 1: Onde nenhum homem jamais esteve","18/11/2017"
"After Trek: Temporada 1: Episódio 8","15/11/2017"
"After Trek: Temporada 1: Episódio 3","14/11/2017"
"Jornada nas Estrelas: A nova geração: Temporada 1: Onde Ninguém Jamais Esteve","14/11/2017"
"After Trek: Temporada 1: Episódio 7","12/11/2017"
"Jornada nas Estrelas: A nova geração: Temporada 4: Irmãos","09/11/2017"
"Jornada nas Estrelas: A nova geração: Temporada 3: Sarek","09/11/2017"
"After Trek: Temporada 1: Episódio 2","09/11/2017"
"Star Trek: Voyager: Temporada 4: O jogo da morte: Parte 1","09/11/2017"
"Star Trek: Voyager: Temporada 2: Simulacros","09/11/2017"
"The Captains","05/11/2017"
"Jornada nas estrelas: Temporada 2: Tempo de loucura","04/11/2017"
"Star Trek: Enterprise: Temporada 4: Kir'Shara","04/11/2017"
"Star Trek: Enterprise: Temporada 4: O despertar","04/11/2017"
"After Trek: Temporada 1: Episódio 6","03/11/2017"
"Chaos on the Bridge","03/11/2017"
"Nossas Noites","02/11/2017"
"Jornada nas Estrelas: Deep Space Nine: Temporada 2: Juramento de sangue","02/11/2017"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Fogo cruzado","02/11/2017"
"Jornada nas estrelas: Temporada 2: Problemas aos pingos","31/10/2017"
"Star Trek: Enterprise: Temporada 4: No deserto de Vulcano","29/10/2017"
"Jornada nas estrelas: Temporada 1: O punhal imaginário","29/10/2017"
"Star Trek: Enterprise: Temporada 4: Os aumentados","29/10/2017"
"Star Trek: Enterprise: Temporada 4: Estação Polar 12","28/10/2017"
"After Trek: Temporada 1: Episódio 5","28/10/2017"
"Star Trek: Enterprise: Temporada 4: Fronteira","22/10/2017"
"Star Trek: Enterprise: Temporada 4: Lar","22/10/2017"
"After Trek: Temporada 1: Episódio 4","21/10/2017"
"Jornada nas estrelas: Temporada 1: As mulheres de Mudd","21/10/2017"
"Jornada nas estrelas: Temporada 1: O demônio da escuridão","18/10/2017"
"Star Trek: Enterprise: Temporada 4: Os aenars","16/10/2017"
"Star Trek: Enterprise: Temporada 2: Julgamento","15/10/2017"
"Star Trek: Enterprise: Temporada 2: Cessar-fogo","24/09/2017"
"Star Trek: Enterprise: Temporada 2: Estigma","24/09/2017"
"Jornada nas Estrelas: A nova geração: Temporada 6: A Busca","23/09/2017"
"Jornada nas Estrelas: A nova geração: Temporada 6: Lições","17/09/2017"
"Jornada nas Estrelas: A nova geração: Temporada 7: Conhece-te a Ti Mesmo","03/09/2017"
"Star Trek: Enterprise: Temporada 2: Amanhecer","03/09/2017"
"House of Cards: Temporada 5: Capítulo 65","03/09/2017"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 7","30/08/2017"
"House of Cards: Temporada 5: Capítulo 64","27/08/2017"
"House of Cards: Temporada 5: Capítulo 63","27/08/2017"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 10","20/08/2017"
"House of Cards: Temporada 5: Capítulo 62","19/08/2017"
"House of Cards: Temporada 5: Capítulo 61","19/08/2017"
"Star Trek: Enterprise: Temporada 2: A passarela","30/07/2017"
"House of Cards: Temporada 5: Capítulo 60","30/07/2017"
"House of Cards: Temporada 5: Capítulo 59","23/07/2017"
"Star Trek: Enterprise: Temporada 2: Carga preciosa","23/07/2017"
"House of Cards: Temporada 5: Capítulo 58","23/07/2017"
"House of Cards: Temporada 5: Capítulo 57","23/07/2017"
"House of Cards: Temporada 5: Capítulo 56","30/06/2017"
"House of Cards: Temporada 5: Capítulo 55","25/06/2017"
"House of Cards: Temporada 5: Capítulo 54","23/06/2017"
"House of Cards: Temporada 5: Capítulo 53","13/06/2017"
"Star Trek: Enterprise: Temporada 2: Ponto de fuga","26/05/2017"
"Star Trek: Enterprise: Temporada 2: Singularidade","19/05/2017"
"Star Trek: Enterprise: Temporada 2: O comunicador","07/05/2017"
"Star Trek: Enterprise: Temporada 2: O sétimo","15/04/2017"
"Star Trek: Enterprise: Temporada 2: Saqueadores","15/04/2017"
"Star Trek: Enterprise: Temporada 2: Uma noite na enfermaria","14/04/2017"
"Star Trek: Enterprise: Temporada 2: Ponto morto","14/04/2017"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Paraíso perdido","09/04/2017"
"O Sol é para Todos","09/04/2017"
"Sherlock: Temporada 3: O sinal dos três","08/04/2017"
"Um Conto De Natal","01/04/2017"
"Como não Esquecer essa Garota","26/03/2017"
"Monty Python - O Sentido da Vida","25/03/2017"
"Star Trek: Enterprise: Temporada 1: Travessia no deserto","24/03/2017"
"Star Trek: Enterprise: Temporada 1: Herói em decadência","22/03/2017"
"Star Trek: Enterprise: Temporada 1: Vox Sola","19/03/2017"
"Star Trek: Enterprise: Temporada 1: Detidos","19/03/2017"
"Star Trek: Enterprise: Temporada 1: Oásis","18/03/2017"
"Star Trek: Enterprise: Temporada 1: Aquisição","12/03/2017"
"Star Trek: Enterprise: Temporada 1: Planeta errante","12/03/2017"
"O homem que viu o infinito","12/03/2017"
"Star Trek: Enterprise: Temporada 1: Fusão","08/03/2017"
"Star Trek: Enterprise: Temporada 1: Cápsula Auxiliar I","08/03/2017"
"Sherlock: Temporada 2: Um escândalo em Belgrávia","04/03/2017"
"The Crown: Temporada 1: Gloriana","03/03/2017"
"The Crown: Temporada 1: Assassinos","02/03/2017"
"The Crown: Temporada 1: Orgulho e Alegria","01/03/2017"
"The Crown: Temporada 1: Saber é Poder","25/02/2017"
"Star Trek: Enterprise: Temporada 1: Cães adormecidos","20/02/2017"
"The Crown: Temporada 1: Explosivo","19/02/2017"
"The Royals: Temporada 1: Casamentos da Realeza","19/02/2017"
"The Crown: Temporada 1: Ilusões","19/02/2017"
"The Crown: Temporada 1: Ato Divino","18/02/2017"
"The Crown: Temporada 1: Windsor","18/02/2017"
"THX 1138","12/02/2017"
"The Crown: Temporada 1: Hyde Park Corner","12/02/2017"
"A Máquina do Tempo","11/02/2017"
"The Crown: Temporada 1: Wolferton Splash","11/02/2017"
"Uma Mulher Espetacular: Temporada 1: Episódio 4","10/02/2017"
"Uma Mulher Espetacular: Temporada 1: Episódio 3","10/02/2017"
"Star Trek: Enterprise: Temporada 1: Caro Doutor","07/02/2017"
"Uma Mulher Espetacular: Temporada 1: Episódio 2","28/01/2017"
"Star Trek: Enterprise: Temporada 1: Inimigo silencioso","28/01/2017"
"Olga","28/01/2017"
"Jornada nas Estrelas: A nova geração: Temporada 3: Ménage à Troi","28/01/2017"
"Star Trek: Enterprise: Temporada 1: Frente fria","23/01/2017"
"Star Trek: Enterprise: Temporada 1: Mercadores do espaço","23/01/2017"
"Uma Mulher Espetacular: Temporada 1: Episódio 1","22/01/2017"
"Good Morning Call: Temporada 1: Enfim a sós","22/01/2017"
"Codegirl","22/01/2017"
"Star Trek: Enterprise: Temporada 1: Civilização","19/01/2017"
"Star Trek: Enterprise: Temporada 1: Quebrando o gelo","18/01/2017"
"Star Trek: Enterprise: Temporada 1: O incidente andoriano","15/01/2017"
"Star Trek: Enterprise: Temporada 1: Terra Nova","15/01/2017"
"Star Trek: Enterprise: Temporada 1: Inesperado","11/01/2017"
"Star Trek: Enterprise: Temporada 1: Explorar novos mundos","11/01/2017"
"Star Trek: Enterprise: Temporada 1: Luta ou fuga","11/01/2017"
"Contos Do Edgar: Season 1: Episódio 3","10/01/2017"
"Jornada nas Estrelas: A nova geração: Temporada 4: Pistas","08/01/2017"
"Jornada nas Estrelas: A nova geração: Temporada 1: Solidão","07/01/2017"
"Jornada nas Estrelas: Deep Space Nine: Temporada 5: Uma simples investigação","06/01/2017"
"Star Trek: Voyager: Temporada 2: Inocência","30/12/2016"
"Star Trek – A Série Animada: Temporada 1: Além da estrela mais distante","23/12/2016"
"3%: Temporada 1: Capítulo 08: Botão","17/12/2016"
"3%: Temporada 1: Capítulo 07: Cápsula","09/12/2016"
"Buffy the Vampire Slayer: Temporada 6: Episódio 4","08/12/2016"
"Buffy the Vampire Slayer: Temporada 6: Episódio 5","08/12/2016"
"3%: Temporada 1: Capítulo 06: Vidro","07/12/2016"
"3%: Temporada 1: Capítulo 05: Água","04/12/2016"
"3%: Temporada 1: Capítulo 04: Portão","03/12/2016"
"Jornada nas estrelas: Temporada 2: O sucessor","03/12/2016"
"Jornada nas estrelas: Temporada 1: Operação: Aniquilar!","03/12/2016"
"3%: Temporada 1: Capítulo 03: Corredor","02/12/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 5: Aquele que não tiver pecados...","30/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 5: Nem dos fortes a peleja","30/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 5: Procurando Par'Mach nos lugares errados","30/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 5: À beira do Apocalipse","30/11/2016"
"3%: Temporada 1: Capítulo 02: Moedas","27/11/2016"
"3%: Temporada 1: Capítulo 01: Cubos","27/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Elo partido","26/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Quebra de contrato","26/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Nave em perigo","26/11/2016"
"Stranger Things: Capítulo oito: De ponta-cabeça","25/11/2016"
"Stranger Things: Capítulo sete: A banheira","22/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 2: O cerco","20/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 2: O Círculo","20/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 2: A volta para casa","20/11/2016"
"The Expanse: Temporada 1: Dulcineia","20/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 2: O colaborador","18/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 2: Verdades e mentiras","18/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 3: A casa de Quark","17/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Regras de combate","17/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: O sindicato","17/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 3: A sorte está lançada","17/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 3: Causa improvável","17/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 2: Regras de aquisição","17/11/2016"
"Stranger Things: Capítulo seis: O monstro","15/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 5: Canções ferengi de amor","15/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Paraíso ameaçado","15/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Homenzinhos verdes","15/11/2016"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Bashir, Julian Bashir","15/11/2016"
"Buffy the Vampire Slayer: Temporada 5: Episódio 15","12/11/2016"
"Buffy the Vampire Slayer: Temporada 1: Episódio 1","12/11/2016"
"Stranger Things: Capítulo cinco: A pulga e o acrobata","12/11/2016"
"Stranger Things: Capítulo quatro: O corpo","06/11/2016"
"Stranger Things: Capítulo três: Caramba","06/11/2016"
"Stranger Things: Capítulo dois: A estranha da Maple Street","05/11/2016"
"Indiana Jones e o Reino da Caveira de Cristal","28/10/2016"
"Stranger Things: Capítulo um: O desaparecimento de Will Byers","23/10/2016"
"Tintin: The Calculus Affair","23/10/2016"
"As Aventuras de Tintim: Os Prisioneiros do Sol","23/10/2016"
"Indiana Jones e o Templo da Perdição","13/10/2016"
"Os Caçadores da Arca Perdida","08/10/2016"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 5","06/10/2016"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 6","06/10/2016"
"Tom Segura: Mostly Stories","06/10/2016"
"Scoop","04/10/2016"
"House of Cards: Temporada 4: Capítulo 52","04/09/2016"
"Paratodos","04/09/2016"
"House of Cards: Temporada 4: Capítulo 51","03/09/2016"
"Jornada nas estrelas: Nêmesis","28/08/2016"
"House of Cards: Temporada 4: Capítulo 50","30/07/2016"
"House of Cards: Temporada 4: Capítulo 49","21/07/2016"
"House of Cards: Temporada 4: Capítulo 48","20/07/2016"
"Os Caça-Fantasmas 2","17/07/2016"
"House of Cards: Temporada 4: Capítulo 47","16/07/2016"
"House of Cards: Temporada 4: Capítulo 46","15/07/2016"
"House of Cards: Temporada 4: Capítulo 45","12/07/2016"
"House of Cards: Temporada 4: Capítulo 44","10/07/2016"
"House of Cards: Temporada 4: Capítulo 43","07/07/2016"
"Rede de intrigas","28/06/2016"
"Vozes de uma Estrela Distante","27/06/2016"
"O Jardim das Palavras","27/06/2016"
"O Homem Que Matou o Facínora","26/06/2016"
"Janela indiscreta","26/06/2016"
"Sete Anos no Tibet","25/06/2016"
"The Adventures of Tintin: Temporada 2: Episódio 7","24/06/2016"
"The Adventures of Tintin: Temporada 2: Episódio 6","24/06/2016"
"House of Cards: Temporada 4: Capítulo 42","22/06/2016"
"House of Cards: Temporada 4: Capítulo 41","21/06/2016"
"House of Cards: Temporada 4: Capítulo 40","20/06/2016"
"House of Cards: Temporada 3: Capítulo 39","19/06/2016"
"Lareira em 4K: Lareira crepitante, versão clássica","18/06/2016"
"House of Cards: Temporada 3: Capítulo 38","17/06/2016"
"House of Cards: Temporada 3: Capítulo 37","17/06/2016"
"House of Cards: Temporada 3: Capítulo 36","16/06/2016"
"House of Cards: Temporada 3: Capítulo 35","15/06/2016"
"House of Cards: Temporada 3: Capítulo 34","14/06/2016"
"House of Cards: Temporada 3: Capítulo 33","12/06/2016"
"House of Cards: Temporada 3: Capítulo 32","11/06/2016"
"House of Cards: Temporada 3: Capítulo 31","11/06/2016"
"O Congreso Futurista","09/06/2016"
"Chef's Table: Volume 2: Alex Atala","09/06/2016"
"Esquadrão Bizarro: Temporada 1: Efeito zero / Ursos azarados","09/06/2016"
"House of Cards: Temporada 3: Capítulo 30","07/06/2016"
"House of Cards: Temporada 3: Capítulo 29","06/06/2016"
"House of Cards: Temporada 3: Capítulo 28","05/06/2016"
"House of Cards: Temporada 3: Capítulo 27","04/06/2016"
"House of Cards: Temporada 2: Capítulo 26","04/06/2016"
"House of Cards: Temporada 2: Capítulo 25","02/06/2016"
"House of Cards: Temporada 2: Capítulo 24","01/06/2016"
"House of Cards: Temporada 2: Capítulo 23","31/05/2016"
"House of Cards: Temporada 2: Capítulo 22","30/05/2016"
"House of Cards: Temporada 2: Capítulo 21","29/05/2016"
"House of Cards: Temporada 2: Capítulo 20","29/05/2016"
"House of Cards: Temporada 2: Capítulo 19","28/05/2016"
"House of Cards: Temporada 2: Capítulo 18","28/05/2016"
"House of Cards: Temporada 2: Capítulo 17","28/05/2016"
"Cauby - Começaria Tudo Outra Vez","28/05/2016"
"A Mulher Faz o Homem","27/05/2016"
"House of Cards: Temporada 2: Capítulo 16","26/05/2016"
"House of Cards: Temporada 2: Capítulo 15","25/05/2016"
"House of Cards: Temporada 2: Capítulo 14","25/05/2016"
"House of Cards: Temporada 1: Capítulo 13","24/05/2016"
"House of Cards: Temporada 1: Capítulo 12","22/05/2016"
"House of Cards: Temporada 1: Capítulo 11","21/05/2016"
"House of Cards: Temporada 1: Capítulo 10","21/05/2016"
"House of Cards: Temporada 1: Capítulo 9","21/05/2016"
"House of Cards: Temporada 1: Capítulo 8","19/05/2016"
"House of Cards: Temporada 1: Capítulo 7","19/05/2016"
"House of Cards: Temporada 1: Capítulo 6","18/05/2016"
"House of Cards: Temporada 1: Capítulo 5","17/05/2016"
"House of Cards: Temporada 1: Capítulo 4","15/05/2016"
"House of Cards: Temporada 1: Capítulo 3","15/05/2016"
"House of Cards: Temporada 1: Capítulo 2","15/05/2016"
"House of Cards: Temporada 1: Capítulo 1","15/05/2016"
"Penny Dreadful: Temporada 1: Episódio 1","15/05/2016"
"Clube de compras Dallas","01/05/2016"
"O Escorpião de Jade","19/03/2016"
"Chatô, O Rei do Brasil","21/02/2016"
"Os 7 suspeitos","14/02/2016"
"Politicamente Incorreto - A Série: Temporada 1: Episódio 1","14/02/2016"
"Little Witch Academia: The Enchanted Parade","14/02/2016"
"The Bletchley Circle: Temporada 1: Decifrando o código de um assassino - parte 1","14/02/2016"
"A Dama Dourada","30/01/2016"
"Little Witch Academia","29/01/2016"
"O mordomo da Casa Branca","09/01/2016"
"S.O.S. tem um louco solto no espaço","15/12/2015"
"Testemunha de Acusação","06/12/2015"
"The Adventures of Tintin: Temporada 2: Episódio 12","05/12/2015"
"The Adventures of Tintin: Temporada 2: Episódio 11","05/12/2015"
"The Adventures of Tintin: Temporada 2: Episódio 10","05/12/2015"
"The Adventures of Tintin: Temporada 2: Episódio 9","04/12/2015"
"Star Wars – Uma Nova Esperança","04/12/2015"
"The Adventures of Tintin: Temporada 2: Episódio 8","26/11/2015"
"De volta para o futuro III","24/10/2015"
"Back in Time","24/10/2015"
"Sobral - O Homem que Não Tinha Preço","18/10/2015"
"Três Homens em Conflito","18/10/2015"
"Narcos: Temporada 1: A espada de Simón Bolívar","14/10/2015"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 1","11/10/2015"
"Tempo de despertar","11/10/2015"
"Dr. Fantástico","06/10/2015"
"A incrível história de Adaline","19/09/2015"
"O artista","12/09/2015"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 13","07/09/2015"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 12","07/09/2015"
"Paris-Manhattan","03/09/2015"
"Narcos: Temporada 1: A chegada","30/08/2015"
"Gotham: Temporada 1: Piloto","28/08/2015"
"Mudbloods","27/08/2015"
"A Vingança da Pantera Cor-de-Rosa","19/08/2015"
"Um Tiro no Escuro","19/08/2015"
"O Jovem Frankenstein","30/07/2015"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 11","29/07/2015"
"Meu Malvado Favorito 2","25/07/2015"
"Malícia","05/07/2015"
"Hoop Dreams","01/07/2015"
"O Reino dos Gatos","24/06/2015"
"TEDTalks: Maquinações robóticas: Maquinações Robóticas: Episódio 12","24/06/2015"
"TEDTalks: Maquinações robóticas: Maquinações Robóticas: Episódio 17","24/06/2015"
"TEDTalks: Invenção radical: Invenção Radical: Episódio 12","13/06/2015"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 9","07/06/2015"
"Miss Fisher's Murder Mysteries: Temporada 1: Cocaína","07/06/2015"
"The Haunting Hour: The Haunting Hour: Temporada 1: Episódio 1","06/06/2015"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 8","06/06/2015"
"Criação","30/05/2015"
"Moving Art: Temporada 1: Flores","21/05/2015"
"Where Is Flight MH370?","17/05/2015"
"Orphan Black: Temporada 1: Seleção natural","17/05/2015"
"Cosmos: Uma Odisseia do Espaço-Tempo: Temporada 1: Episódio 4","14/05/2015"
"WALL-E","06/05/2015"
"Bombón: El Perro","05/05/2015"
"Particle Fever","05/05/2015"
"Dilbert: Temporada 2: Episódio 13","05/05/2015"
"Downton Abbey: Temporada 3: Episódio 9","03/05/2015"
"Downton Abbey: Temporada 3: Episódio 8","27/04/2015"
"TED Talks: Mastigue isso: Mastigue isso: Episódio 1","26/04/2015"
"Downton Abbey: Temporada 3: Episódio 7","26/04/2015"
"Downton Abbey: Temporada 3: Episódio 6","24/04/2015"
"Downton Abbey: Temporada 3: Episódio 5","15/04/2015"
"Downton Abbey: Temporada 3: Episódio 4","14/04/2015"
"Downton Abbey: Temporada 3: Episódio 3","13/04/2015"
"Space Jam - O Jogo do Século","12/04/2015"
"Downton Abbey: Temporada 3: Episódio 2","12/04/2015"
"Downton Abbey: Temporada 3: Episódio 1","10/04/2015"
"Dilbert: Temporada 2: Episódio 9","09/04/2015"
"Dilbert: Temporada 1: Episódio 8","09/04/2015"
"Downton Abbey: Temporada 2: Episódio 9","08/04/2015"
"Downton Abbey: Temporada 2: Episódio 8","07/04/2015"
"Downton Abbey: Temporada 2: Episódio 7","05/04/2015"
"O poderoso chefão","05/04/2015"
"Downton Abbey: Temporada 2: Episódio 6","04/04/2015"
"Downton Abbey: Temporada 2: Episódio 5","03/04/2015"
"Arquivo X: Temporada 5: Episódio 3","03/04/2015"
"Arquivo X: Temporada 3: Episódio 12","03/04/2015"
"Downton Abbey: Temporada 2: Episódio 4","02/04/2015"
"Downton Abbey: Temporada 2: Episódio 3","01/04/2015"
"Dilbert: Temporada 1: Episódio 9","01/04/2015"
"Dilbert: Temporada 1: Episódio 7","01/04/2015"
"Dilbert: Temporada 1: Episódio 6","01/04/2015"
"Downton Abbey: Temporada 2: Episódio 2","30/03/2015"
"Downton Abbey: Temporada 2: Episódio 1","29/03/2015"
"Downton Abbey: Temporada 1: Episódio 7","29/03/2015"
"Downton Abbey: Temporada 1: Episódio 6","29/03/2015"
"Downton Abbey: Temporada 1: Episódio 5","28/03/2015"
"Downton Abbey: Temporada 1: Episódio 4","28/03/2015"
"Downton Abbey: Temporada 1: Episódio 3","26/03/2015"
"Downton Abbey: Temporada 1: Episódio 2","24/03/2015"
"Downton Abbey: Temporada 1: Episódio 1","19/03/2015"
"Era uma vez: Temporada 1: Uma terra sem magia","17/03/2015"
"Era uma vez: Temporada 1: Uma maçã vermelha como sangue","08/03/2015"
"Contos Do Edgar: Season 1: Episódio 2","06/03/2015"
"Era uma vez: Temporada 1: O estranho","04/03/2015"
"Contos Do Edgar: Season 1: Episódio 1","03/03/2015"
"Equilibrium","03/03/2015"
"1984.0","17/02/2015"
"Era uma vez: Temporada 1: O retorno","17/02/2015"
"O Segredo dos Seus Olhos","16/02/2015"
"Era uma vez: Temporada 1: O homem do estábulo","16/02/2015"
"Era uma vez: Temporada 1: O chapéu mágico","16/02/2015"
"A boa mentira","15/02/2015"
